Timestamp,Coin,Price,24h Change,Market Cap
2026-02-19 11:00:27,CoinMarketCap 20 Index DTF CMC20 Buy,$137.64,0.01%,"$13,124,679"
2026-02-19 11:00:28,Bitcoin BTC Buy,"$66,707.05",0.23%,"$1,333,586,451,629"
2026-02-19 11:00:28,Ethereum ETH Buy,"$1,965.33",0.33%,"$237,200,537,935"
2026-02-19 11:00:28,Tether USDT Buy,$0.9995,0.01%,"$183,666,055,266"
2026-02-19 11:00:28,XRP XRP Buy,$1.41,0.95%,"$86,115,326,019"
2026-02-19 11:00:28,BNB BNB Buy,$608.80,0.02%,"$83,016,209,508"
2026-02-19 11:00:28,USDC USDC Buy,$1.00,0.02%,"$73,668,370,776"
2026-02-19 11:00:28,Solana SOL Buy,$81.86,0.03%,"$46,517,214,777"
2026-02-19 11:00:28,TRON TRX Buy,$0.2800,0.01%,"$26,527,145,715"
2026-02-19 11:00:28,Dogecoin DOGE Buy,$0.09831,0.57%,"$16,595,536,289"
